ID,ID_Trismegistos,ID_status,Name,Alternative_name,Family,Phylum,Earliest,Floruit,Latest,Issue,Attestation,Status,Region,Latitude,Longitude,Parent,Source,Relevance,Note
oldn1245,50,1,Old Nubian,,Nilo-Saharan?,Nubian,,,,,,,Africa,,,nubi1251,,1,
oldp1253,93,1,Old Occitan,Old Provençal,Indo-European,Romance,,,,,,,W Europe,,,lati1261,,,
oldp1254,79; 46,1,Old Persian,,Indo-European,Indo-Iranian,,,,,,language,Iran,,,iran1269,,1,
 olds1249,107,1,Old Spanish,,Indo-European,Romance,,,,,,,Iberia,,,lati1261,,,
oldu1238,99,1,Old Turkic,,Turkic,Common Turkic,,,,,,,E Asia,,,turk1311,,,
oldw1241,11,1,Old Welsh,,Indo-European,Celtic,,,,,,,Britain,,,celt1248,,,
osca1245,36,1,Oscan,,Indo-European,Italic,,,,0,epigraphic,language,Italy,40.98,15.67,sabe1249,,1,
pael1234,36,1,Paelignian,,Indo-European,Italic,,,,0,epigraphic,dialect,Italy,,,osca1245,,1,
paeo1200,,0,Paeonian,,Indo-European,Balkan,,,,,,,Balkans,,,grae1234,,1,
pahl1241,,1,Pahlavi,,Indo-European,Iranian,-300,,800,1,literary,language,Iran,,,iran1269,,,
pais1238,94,1,Paisaci Prakrit,,Indo-European,Indo-Aryan,,,,,,,,,,sans1269,,,
pala1331,,1,Palaic,,Indo-European,Anatolian,-1600,,-1200,,,,Anatolia,,,anat1257,,1,
palm1200,52,0,Palmyrene,,Afro-Asiatic,Semitic,,,,,,dialect,Arabia,,,aram1259,,,
part1239,53,1,Parthian,,Indo-European,Iranian,,,,,,,Iran,,,iran1269,,,
phoe1239,54,1,Phoenician,,Afro-Asiatic,Semitic,-1100,,100,,,,ANE,34.12,35.65,semi1276,,1,
phry1239,87,1,Phrygian,,Indo-European,Balkan,-800,,500,,,,Anatolia,,,grae1234,,1,
pisi1234,86,1,Pisidian,,Indo-European,Anatolian,,,,,,,Anatolia,,,anat1257,,1,
